Euro Cash 3M
Switzerland Cash 3M
United States Cash 3M
European Monetary Union Government 5 - 7 Years (E)
United States Treasury 5 - 7 Years ($)
United States Corporate BBB-A ($)
European Monetary Union Corporate Excluding Pfand. BBB (E)
United States High Yield Master II. ($)
European Currency Highyield (E)
Embi Global Diversified Composite ($)
Convertible: European Monetary Union (E)
United States and Canada Convertible Bond ($)
Dow Jones Euro STOXX 50 (E)
Standard and Poors 500 Composite ($)
EUR
CHF
USD
