11.02.1999	227.2194	171.6490	198.1270	100.1980	968.0810	282.3070	120.4980	360.6250		145.2987	171.0990	194.4200	3375.4200	1254.0400	100.0000	100.0000	100.0000	105.8100
12.02.1999	227.2431	171.6320	198.1550	100.1700	961.2500	279.7950	120.3650	359.9340		145.3112	171.3360	194.4200	3405.6800	1230.1300	100.0000	100.0000	100.0000	106.0240
15.02.1999	227.3029	171.6560	198.2380	99.78400	961.7870	279.9550	120.0530	360.1880		145.3112	171.6730	194.4200	3414.9700	1230.1300	100.0000	100.0000	100.0000	106.3010
16.02.1999	227.3242	171.6550	198.2650	99.76200	962.8450	281.0180	119.9200	360.3680		146.5532	170.8420	194.4200	3402.2100	1241.8700	100.0000	100.0000	100.0000	106.8040
17.02.1999	227.3469	171.6680	198.2930	99.61400	964.9510	281.8230	119.9730	360.3460		146.3257	169.1950	194.4200	3343.0400	1224.0300	100.0000	100.0000	100.0000	106.6440
18.02.1999	227.3692	171.6750	198.3210	99.74500	962.3680	281.3070	120.0360	360.2160		146.0938	170.1650	191.7880	3380.5800	1237.2800	100.0000	100.0000	100.0000	106.6410
19.02.1999	227.3890	171.6690	198.3490	99.71500	961.4390	280.6970	120.0590	359.8610		146.3622	171.3670	191.7880	3415.5200	1239.2200	100.0000	100.0000	100.0000	106.8420
22.02.1999	227.4471	171.6740	198.4310	99.76800	963.4680	281.4390	120.2390	359.7340		145.9114	172.5880	191.7880	3470.8900	1272.1400	100.0000	100.0000	100.0000	106.9880
23.02.1999	227.4659	171.6840	198.4590	100.0430	960.7020	280.5130	120.3590	359.2810		145.0936	174.0440	191.7880	3537.8100	1271.1800	100.0000	100.0000	100.0000	106.7410
24.02.1999	227.4836	171.7020	198.4850	99.89400	956.9920	279.2070	120.2010	358.9630		145.2333	174.2060	191.7880	3556.6900	1253.4100	100.0000	100.0000	100.0000	106.3910
25.02.1999	227.4975	171.7150	198.5050	99.58600	951.6420	277.4460	119.9640	357.5810		143.3873	173.5860	195.3180	3496.2700	1245.0200	100.0000	100.0000	100.0000	105.7750
26.02.1999	227.5115	171.7210	198.5300	99.20600	952.6620	278.4710	119.8530	357.7800		143.3857	173.8610	194.1390	3484.2400	1238.3300	100.0000	100.0000	100.0000	105.9240
01.03.1999	227.5686	171.7320	198.6130	99.02700	949.2930	277.2170	119.4490	356.9950		143.4607	172.6890	194.1390	3441.7400	1236.1600	100.0000	100.0000	100.0000	106.1730
02.03.1999	227.5793	171.6950	198.6380	98.72900	951.9400	278.3240	119.5060	356.8260		142.6235	172.5840	194.1390	3451.1800	1225.5000	100.0000	100.0000	100.0000	106.4970
03.03.1999	227.6013	171.6970	198.6670	98.76400	949.9150	277.6550	119.3310	356.2710		141.7914	170.9160	194.1390	3393.9500	1227.7000	100.0000	100.0000	100.0000	106.3920
04.03.1999	227.6207	171.7060	198.6950	98.43400	948.8430	277.3100	119.2240	356.0670		142.5217	171.7320	193.8790	3434.4900	1246.6400	100.0000	100.0000	100.0000	106.3300
05.03.1999	227.6439	171.7180	198.7230	98.90600	952.6110	278.6710	119.7700	356.3850		143.7937	174.6510	193.8790	3536.6400	1275.4700	100.0000	100.0000	100.0000	106.3250
08.03.1999	227.7087	171.7380	198.8210	99.06000	954.8320	279.1810	120.0640	356.5900		144.0705	174.7060	193.8790	3495.4300	1282.7300	100.0000	100.0000	100.0000	106.6590
09.03.1999	227.7317	171.7430	198.8490	98.97400	958.7500	280.5600	119.8720	357.4200		145.0793	174.1930	193.8790	3493.5400	1279.8400	100.0000	100.0000	100.0000	106.8160
10.03.1999	227.7539	171.7610	198.8770	99.05400	957.9330	280.2720	119.9370	357.7130		146.3182	173.7200	193.8790	3485.0500	1286.8400	100.0000	100.0000	100.0000	106.8710
